Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-04-22,1.5833333730697632,1.5833333730697632,1.4947916269302368,1.5104166269302368,1.3895220756530762,5679600.0,1.5104166269302368,1.5442708134651184,1.546875,1.5760416746139527,1.5925925970077515,1.6083333373069764,1.6572916686534882,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.04290431560856278
1999-04-23,1.5052083730697632,1.5104166269302368,1.4270833730697632,1.4375,1.3224420547485352,3151200.0,1.4375,1.4739583134651184,1.5086805423100789,1.5322916746139525,1.5659722222222223,1.5770833373069764,1.6489583373069763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.04827583703076166
1999-04-26,1.4375,1.4583333730697632,1.3333333730697632,1.3645833730697632,1.255361557006836,3087600.0,1.3645833730697632,1.4010416865348816,1.4375,1.4885416746139526,1.538773152563307,1.5458333373069764,1.6299479246139525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.050724610038425655
1999-04-27,1.3958333730697632,1.5208333730697632,1.375,1.5104166269302368,1.3895220756530762,5673600.0,1.5104166269302368,1.4375,1.4375,1.4802083253860474,1.5329861111111112,1.5359375,1.6156250059604644,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10687016765594004
1999-04-28,1.5208333730697632,1.5208333730697632,1.453125,1.5,1.379939079284668,3002400.0,1.5,1.5052083134651184,1.4583333333333333,1.4645833253860474,1.5214120414521959,1.5296875,1.6083333373069764,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.006896525597316461
1999-04-29,1.5052083730697632,1.5104166269302368,1.46875,1.5,1.379939079284668,1203600.0,1.5,1.5,1.5034722089767456,1.4625,1.5040509303410847,1.5192708373069763,1.5953125059604645,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1999-04-30,1.515625,1.5833333730697632,1.5052083730697632,1.5208333730697632,1.399105429649353,2482800.0,1.5208333730697632,1.5104166865348816,1.5069444576899211,1.4791666746139527,1.4971064858966403,1.5057291746139527,1.5859375059604646,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.013888915379842048
1999-05-03,1.5364583730697632,1.5364583730697632,1.4895833730697632,1.53125,1.408687949180603,846000.0,1.53125,1.5260416865348816,1.5173611243565877,1.5125,1.4947916666666667,1.5005208373069763,1.5796875059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.006849288761471062
1999-05-04,1.53125,1.53125,1.4166666269302368,1.4479166269302368,1.3320246934890747,2401200.0,1.4479166269302368,1.4895833134651184,1.5,1.5,1.4803240696589153,1.4901041626930236,1.5713541686534882,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0544217946578045
1999-05-05,1.4583333730697632,1.4791666269302368,1.375,1.4791666269302368,1.3607734441757202,3614400.0,1.4791666269302368,1.4635416269302368,1.486111084620158,1.4958333253860474,1.476851847436693,1.4802083253860474,1.5578125,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02158273440526326
1999-05-06,1.46875,1.5,1.40625,1.4505208730697632,1.334420919418335,890400.0,1.4505208730697632,1.46484375,1.4592013756434123,1.4859375,1.4782986111111112,1.47421875,1.5412760436534882,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-1,-0.019366143975221406
1999-05-07,1.40625,1.46875,1.40625,1.4583333730697632,1.341607928276062,625200.0,1.4583333730697632,1.4544271230697632,1.4626736243565877,1.4734375,1.4887152777777777,1.4763020873069763,1.5266927123069762,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.005385996261788595
1999-05-10,1.4479166269302368,1.4895833730697632,1.4479166269302368,1.4583333730697632,1.341607928276062,492000.0,1.4583333730697632,1.4583333730697632,1.4557292064030964,1.4588541746139527,1.4829282495710585,1.4856770873069762,1.5157552123069764,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1999-05-11,1.5208333730697632,1.5833333730697632,1.4895833730697632,1.5364583730697632,1.4134794473648071,4293600.0,1.5364583730697632,1.4973958730697632,1.48437503973643,1.4765625238418578,1.4869791799121432,1.488281261920929,1.5121093809604644,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.053571427111723136
1999-05-12,1.5520833730697632,1.5885416269302368,1.53125,1.5833333730697632,1.4566025733947754,4212000.0,1.5833333730697632,1.5598958730697632,1.5260417064030964,1.4973958730697632,1.4962384435865614,1.4966145992279052,1.5131510496139526,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0.0305084737872503
1999-05-13,1.5833333730697632,1.625,1.578125,1.5833333730697632,1.4566025733947754,1748400.0,1.5833333730697632,1.5833333730697632,1.5677083730697632,1.5239583730697632,1.5031828880310059,1.5049479365348817,1.512109386920929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1999-05-14,1.5833333730697632,1.5833333730697632,1.4791666269302368,1.5,1.379939079284668,711600.0,1.5,1.5416666865348816,1.5555555820465088,1.5322916984558106,1.4997106658087835,1.5028645992279053,1.504296886920929,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.05263160272318179
